user,timestamp,hours,project
ned,2019-09-27 00:00:00 UTC,8.0,bizdev
robert,09/27/2019 12:00 AM,8.0,bizdev
ned,26 сентября 2019 00:00,4.0,bizdev
ned,2019-09-26 00:00:00 UTC,1.0,cultureandmanagement
ned,2019-09-26 00:00:00 UTC,1.5,project-00
ned,2019-09-26 00:00:00 UTC,1.0,project-43
jaime,12/21/2018 12:00 AM,2.0,project-00
jaime,2018-12-21 00:00:00 UTC,0.5,project-47
jaime,2018-12-21 00:00:00 UTC,3.5,project-47
jaime,2018-12-20 00:00:00 UTC,1.5,project-00
jaime,2018-12-20 00:00:00 UTC,1.5,project-30
jaime,2018-12-20 00:00:00 UTC,1.0,project-47
jaime,2018-12-20 00:00:00 UTC,3.0,project-47
catelyn,2018-11-26 14:47:36.0429 UTC,0.6,opsandadmin
catelyn,2018-11-26 14:47:36.0429 UTC,0.45,opsandadmin
catelyn,2018-11-26 14:47:36.0429 UTC,0.4,cultureandmanagement
catelyn,2018-11-26 14:47:36.0429 UTC,0.08,security
catelyn,2018-11-26 14:47:36.0429 UTC,0.68,project-43
catelyn,2018-11-26 14:47:36.0429 UTC,0.35,opsandadmin
catelyn,2018-11-26 14:47:36.0429 UTC,1.53,project-43
catelyn,26 ноября 2018 14:47,0.72,opsandadmin
catelyn,2018-11-26 14:47:36.0429 UTC,0.38,cultureandmanagement
catelyn,2018-11-26 14:47:36.0429 UTC,0.62,cultureandmanagement
cersei,2018-11-26 13:17:30.0426 UTC,3.0,blogideas
cersei,2018-11-26 13:17:30.0426 UTC,1.0,project-10
cersei,2018-11-26 13:17:30.0426 UTC,4.0,internal
daenerys,2018-11-26 12:55:30.0416 UTC,8.0,blogideas
daenerys,2018-11-26 12:55:30.0416 UTC,0.5,project-51
jorah,11/26/2018 12:49 PM,2.0,project-51
jorah,2018-11-26 12:49:17.0405 UTC,1.5,transit
jorah,2018-11-26 12:49:17.0405 UTC,0.5,opsandadmin
jorah,2018-11-26 12:49:17.0405 UTC,0.5,opsandadmin
jorah,2018-11-26 12:49:17.0405 UTC,0.5,learning
jorah,2018-11-26 12:49:17.0405 UTC,1.5,project-43
jorah,2018-11-26 12:49:17.0405 UTC,1.25,bizdev
jorah,2018-11-26 12:49:17.0405 UTC,0.75,products
viserys,2018-11-26 12:30:31.0362 UTC,1.5,project-51
viserys,2018-11-26 12:30:31.0362 UTC,2.0,project-51
viserys,26 ноября 2018 12:30,0.5,opsandadmin
viserys,2018-11-26 12:30:31.0362 UTC,0.5,opsandadmin
viserys,2018-11-26 12:30:31.0362 UTC,0.5,blogideas
viserys,2018-11-26 12:30:31.0362 UTC,2.0,project-64
viserys,11/26/2018 12:30 PM,1.0,project-51
jaime,2018-11-26 12:11:58.0359 UTC,0.58,learning
jaime,2018-11-26 12:11:58.0359 UTC,0.1,project-00
jaime,2018-11-26 12:11:58.0359 UTC,0.5,project-00
jaime,2018-11-26 12:11:58.0359 UTC,0.5,opsandadmin
jaime,2018-11-26 12:11:58.0359 UTC,4.0,project-26
jaime,2018-11-26 12:11:58.0359 UTC,0.63,opsandadmin
